"exp","block","plot","plant","seed","trt","gopher","year","taxa","plntmass","seedmass","sds.plt","sdms.plt","sdratio","plts.smp"
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"BROMUS_HORDEACEUS",0.392,0.0012,73.3333333333333,0.088,0.289473684210526,10
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"BROMUS_MADRITENSIS",0.457,0.0015,120,0.18,0.649819494584837,10
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"HORDEUM_MURINUM",0.308,0.0017,75.2941176470588,0.128,0.711111111111111,10
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"BROMUS_HORDEACEUS",0.1162,0.001129,41.8334809565988,0.04723,0.68479048861824,10
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"BROMUS_MADRITENSIS",0.2234,0.00164,66.219512195122,0.1086,0.945993031358885,4
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"HORDEUM_MURINUM",0.14484,0.001694,53.3116883116883,0.09031,1.65615257656336,10
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"BROMUS_HORDEACEUS",0.28508,0.000886,121.015801354402,0.10722,0.602833689418644,5
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"BROMUS_MADRITENSIS",0.16536,0.001233,53.3008921330089,0.06572,0.659574468085106,5
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"HORDEUM_MURINUM",1.8695,0.002877,242.440041710115,0.6975,0.595136518771331,5
"FIRE","F2",10,"P",1,"FIRE",1,2001,"BROMUS_HORDEACEUS",0.112,0.0016,26.25,0.042,0.6,10
"FIRE","F2",10,"P",1,"FIRE",1,2003,"HORDEUM_MURINUM",1.92788,0.000732,977.978142076503,0.71588,0.590660066006601,5
"FIRE","F2",10,"P",1,"FIRE",1,2002,"BROMUS_HORDEACEUS",0.09091,0.001053,38.3285849952517,0.04036,0.798417408506429,10
"FIRE","F2",10,"P",1,"FIRE",1,2002,"BROMUS_MADRITENSIS",0.14445,0.001681,58.3283759666865,0.09805,2.11314655172414,2
"FIRE","F2",10,"P",1,"FIRE",1,2002,"HORDEUM_MURINUM",0.33545,0.001515,80.8250825082508,0.12245,0.574882629107981,2
"FIRE","F2",10,"P",1,"FIRE",1,2001,"HORDEUM_MURINUM",0.124,0.0016,33.125,0.053,0.746478873239437,10
"FIRE","F2",10,"P",1,"FIRE",1,2003,"BROMUS_MADRITENSIS",1.12682,0.000801,682.671660424469,0.54682,0.942793103448276,5
"FIRE","F2",10,"P",1,"FIRE",1,2001,"BROMUS_MADRITENSIS",0.116,0.001,40,0.04,0.526315789473684,5
"FIRE","F2",10,"P",1,"FIRE",1,2003,"BROMUS_HORDEACEUS",0.5549,0.001293,122.892498066512,0.1589,0.401262626262626,5
"FIRE","F2",11,"A",1,"FIRE",1,2002,"HORDEUM_MURINUM",0.32594,0.00106,108.528301886792,0.11504,0.545471787577051,10
"FIRE","F2",11,"A",1,"FIRE",1,2003,"BROMUS_HORDEACEUS",0.175,0.001107,43.9927732610659,0.0487,0.385589865399842,5
"FIRE","F2",11,"A",1,"FIRE",1,2002,"BROMUS_MADRITENSIS",0.31834,0.000744,240.134408602151,0.17866,1.27906643757159,10
"FIRE","F2",11,"A",1,"FIRE",1,2003,"HORDEUM_MURINUM",0.53012,0.002631,94.3063473964272,0.24812,0.879858156028369,5
"FIRE","F2",11,"A",1,"FIRE",1,2002,"BROMUS_HORDEACEUS",0.15915,0.000918,64.8583877995643,0.05954,0.597731151490814,10
"FIRE","F2",11,"A",1,"FIRE",1,2003,"BROMUS_MADRITENSIS",0.24908,0.000983,94.9338758901323,0.09332,0.599126861838726,5
"FIRE","F2",11,"A",1,"FIRE",1,2001,"BROMUS_MADRITENSIS",0.562,0.0016,130,0.208,0.587570621468927,5
"FIRE","F2",12,"P",0,"FIRE",1,2001,"BROMUS_HORDEACEUS",0.141,0.0014,33.5714285714286,0.047,0.5,10
"FIRE","F2",12,"P",0,"FIRE",1,2002,"BROMUS_HORDEACEUS",0.09459,0.001016,34.6653543307087,0.03522,0.593228903486609,10
"FIRE","F2",12,"P",0,"FIRE",1,2003,"BROMUS_HORDEACEUS",0.17916,0.000899,65.9844271412681,0.05932,0.494993324432577,5
"FIRE","F2",12,"P",0,"FIRE",1,2001,"BROMUS_MADRITENSIS",0.084,0.0018,23.3333333333333,0.042,1,10
"FIRE","F2",12,"P",0,"FIRE",1,2001,"HORDEUM_MURINUM",0.098,0.0015,28.6666666666667,0.043,0.781818181818182,10
"FIRE","F2",12,"P",0,"FIRE",1,2003,"BROMUS_MADRITENSIS",0.4777,0.000906,246.909492273731,0.2237,0.880708661417323,5
"FIRE","F2",12,"P",0,"FIRE",1,2003,"HORDEUM_MURINUM",0.36666,0.00235151515151515,81.1136597938144,0.19074,1.08424283765348,5
"FIRE","F2",13,"P",1,"CONTROL",1,2001,"HORDEUM_MURINUM",0.076,7e-04,41.4285714285714,0.029,0.617021276595745,10
"FIRE","F2",13,"P",1,"CONTROL",1,2002,"BROMUS_HORDEACEUS",0.120555555555556,0.001215,40.0365797896662,0.0486444444444444,0.676452410383189,9
