Species,SeedWht2005,SeedWht2006
Ab,0.0067260,NA
Am,0.0020618,NA
Bh,0.0022240,0.002209
Cc,0.0002835,NA
Cp,0.0003294,NA
Hm,0.0040733,0.006675
La,0.0004784,0.001240
Pm,0.0010080,0.000137
Vmi,0.0014780,0.000568
Vmy,0.0004280,0.000532
Vo,0.0003479,0.000286
