Block,Plot,Species,Plant,Seedunit_Infl,Seedno_seedunit,Totwht_Infl
1,6,Ab,a,17,2,NA
1,6,Ab,b,28,2,NA
1,6,Ab,c,40,2,NA
1,7,Ab,a,32,2,NA
1,7,Ab,b,15,2,NA
1,7,Ab,c,26,2,NA
1,204,Ab,a,57,2,NA
1,204,Ab,b,31,2,NA
1,204,Ab,c,45,2,NA
2,39,Ab,a,25,2,NA
2,39,Ab,b,30,2,NA
2,39,Ab,c,15,2,NA
2,41,Ab,a,20,2,NA
2,41,Ab,b,9,2,NA
2,41,Ab,c,1,2,NA
2,42,Ab,a,9,2,NA
3,61,Ab,a,7,2,NA
3,61,Ab,b,7,2,NA
3,61,Ab,c,13,2,NA
3,65,Ab,a,32,2,NA
3,65,Ab,b,7,2,NA
3,65,Ab,c,36,2,NA
4,89,Ab,a,29,2,NA
4,89,Ab,b,15,2,NA
4,89,Ab,c,20,2,NA
4,95,Ab,a,18,2,NA
4,95,Ab,b,7,2,NA
5,109,Ab,a,13,2,NA
5,109,Ab,b,24,2,NA
5,109,Ab,c,25,2,NA
5,111,Ab,a,7,2,NA
5,238,Ab,a,49,2,NA
5,238,Ab,b,34,2,NA
5,238,Ab,c,25,2,NA
1,3,Am,a,30,4,NA
1,3,Am,b,11,4,NA
1,3,Am,c,19,4,NA
1,6,Am,a,46,4,NA
1,6,Am,b,27,4,NA
1,6,Am,c,23,4,NA
1,201,Am,a,29,4,NA
1,201,Am,b,23,4,NA
1,201,Am,c,34,4,NA
2,42,Am,a,20,4,NA
2,42,Am,b,18,4,NA
2,42,Am,c,13,4,NA
2,44,Am,a,23,4,NA
2,44,Am,b,30,4,NA
2,44,Am,c,16,4,NA
2,214,Am,a,24,4,NA
2,214,Am,b,20,4,NA
2,214,Am,c,19,4,NA
3,61,Am,a,12,4,NA
3,61,Am,b,22,4,NA
3,61,Am,c,13,4,NA
3,64,Am,a,30,4,NA
3,64,Am,b,29,4,NA
3,64,Am,c,38,4,NA
3,222,Am,a,24,4,NA
3,222,Am,b,38,4,NA
3,222,Am,c,51,4,NA
4,86,Am,a,21,4,NA
4,86,Am,b,6,4,NA
4,86,Am,c,25,4,NA
4,91,Am,a,23,4,NA
4,91,Am,b,36,4,NA
4,91,Am,c,32,4,NA
5,111,Am,a,7,4,NA
5,111,Am,b,15,4,NA
5,111,Am,c,17,4,NA
5,120,Am,a,20,4,NA
5,237,Am,a,40,4,NA
5,237,Am,b,24,4,NA
5,237,Am,c,31,4,NA
1,1,Bh,a,NA,NA,0.5995
1,1,Bh,b,NA,NA,0.1518
1,1,Bh,c,NA,NA,0.1139
1,6,Bh,a,NA,NA,0.1995
1,6,Bh,b,NA,NA,0.1976
1,6,Bh,c,NA,NA,0.3582
1,7,Bh,a,NA,NA,0.4579
1,7,Bh,b,NA,NA,0.1962
1,7,Bh,c,NA,NA,0.1329
2,40,Bh,a,NA,NA,0.1724
2,40,Bh,b,NA,NA,0.2778
2,40,Bh,c,NA,NA,0.1378
2,41,Bh,a,NA,NA,0.1596
2,41,Bh,b,NA,NA,0.1008
2,41,Bh,c,NA,NA,0.0376
2,42,Bh,a,NA,NA,0.2893
2,42,Bh,b,NA,NA,0.4913
2,42,Bh,c,NA,NA,0.2621
3,61,Bh,a,NA,NA,0.3381
3,61,Bh,b,NA,NA,0.3069
3,61,Bh,c,NA,NA,0.2995
