"jobID","taskID","runID"
858221,1,60
858221,1,71
858221,10,65
858221,10,81
858221,10,86
858221,10,89
858221,10,100
858221,11,12
858221,11,35
858221,11,58
858221,11,73
858221,11,98
858221,12,3
858221,12,21
858221,12,47
858221,12,75
858221,13,20
858221,13,21
858221,13,26
858221,13,40
858221,13,55
858221,13,62
858221,13,77
858221,13,80
858221,13,94
858221,14,31
858221,14,36
858221,14,57
858221,14,73
858221,14,93
858221,14,95
858221,14,97
858221,14,99
858221,15,26
858221,15,42
858221,15,83
858221,15,95
858221,16,23
858221,16,49
858221,16,52
858221,16,73
858221,16,75
858221,16,86
858221,17,3
858221,17,9
858221,17,17
858221,17,31
858221,17,52
858221,17,55
858221,17,63
858221,17,75
858221,17,78
858221,17,90
858221,17,100
858221,18,5
858221,18,13
858221,18,14
858221,18,26
858221,18,42
858221,18,43
858221,18,48
858221,18,50
858221,18,54
858221,18,71
858221,18,81
858221,19,1
858221,19,34
858221,19,72
858221,19,78
858221,2,4
858221,2,18
858221,2,43
858221,2,44
858221,2,50
858221,2,52
858221,2,59
858221,2,95
858221,20,62
858221,20,63
858221,20,68
858221,21,10
858221,21,50
858221,21,56
858221,21,81
858221,21,89
858221,22,5
858221,22,22
858221,22,28
858221,22,45
858221,22,57
858221,22,99
858221,23,55
858221,23,61
858221,23,67
858221,23,75
858221,23,80
858221,24,5
858221,24,15
858221,24,26
858221,24,70
858221,25,18
858221,25,25
858221,25,40
858221,25,48
858221,25,65
858221,26,19
858221,26,42
858221,26,64
858221,27,6
858221,27,11
858221,27,23
858221,27,25
858221,27,41
858221,27,43
858221,27,69
858221,27,78
858221,28,4
858221,28,7
858221,28,27
858221,28,39
858221,28,51
858221,29,24
858221,29,35
858221,29,92
858221,3,23
858221,3,31
858221,3,60
858221,3,73
858221,3,75
858221,3,94
858221,3,95
858221,30,61
858221,30,85
858221,31,65
858221,31,77
858221,31,85
858221,32,12
858221,32,43
858221,32,55
858221,32,64
858221,32,70
858221,32,78
858221,33,50
858221,33,67
858221,33,86
858221,34,6
858221,34,9
858221,34,35
858221,34,40
858221,34,42
858221,34,84
858221,35,9
858221,35,24
858221,35,29
858221,35,45
858221,35,48
858221,35,56
858221,35,66
858221,35,73
858221,35,80
858221,35,81
858221,35,99
858221,36,7
858221,36,8
858221,36,23
858221,36,30
858221,36,32
858221,36,50
858221,36,60
858221,37,53
858221,37,66
858221,37,98
858221,38,19
858221,38,64
858221,38,68
858221,38,95
858221,39,6
858221,39,36
858221,39,69
858221,39,77
858221,4,5
858221,4,39
858221,4,60
858221,4,79
858221,4,97
858221,40,16
858221,40,93
858221,41,13
858221,41,27
858221,41,41
858221,41,90
858221,42,8
858221,42,18
858221,42,54
858221,43,2
858221,43,12
858221,43,29
858221,43,40
858221,43,60
858221,43,68
858221,44,52
858221,44,62
858221,44,65
858221,44,81
858221,45,38
858221,45,44
858221,45,64
858221,46,8
858221,46,9
858221,46,20
858221,46,27
858221,46,50
858221,47,1
858221,47,23
858221,47,32
858221,47,42
858221,47,95
858221,48,12
858221,48,16
858221,48,27
858221,48,41
858221,48,89
858221,49,35
858221,49,39
858221,49,44
858221,49,64
858221,49,83
858221,49,86
858221,5,4
858221,5,9
858221,5,27
858221,5,49
858221,5,57
858221,5,66
858221,5,88
858221,5,99
858221,50,11
858221,50,28
858221,50,35
858221,50,75
858221,6,69
858221,6,74
858221,7,18
858221,7,27
858221,7,65
858221,7,91
858221,8,22
858221,8,34
858221,8,43
858221,8,68
858221,8,74
858221,8,99
858221,9,20
858221,9,78
888338,1,17
888338,1,24
888338,1,28
888338,1,58
888338,1,64
888338,1,82
888338,1,85
888338,10,21
888338,10,65
888338,10,68
888338,10,84
888338,10,87
888338,10,90
888338,11,15
888338,11,17
888338,11,67
888338,11,76
888338,11,78
888338,11,87
888338,12,12
888338,12,28
888338,12,30
888338,13,35
888338,13,66
888338,13,75
888338,13,79
888338,13,83
888338,14,10
888338,14,24
888338,14,28
888338,14,41
888338,14,96
888338,15,13
888338,15,25
888338,15,42
888338,15,88
888338,16,66
888338,17,48
888338,17,49
888338,18,2
888338,18,20
888338,18,23
888338,18,49
888338,18,63
888338,18,68
888338,18,75
888338,19,46
888338,19,50
888338,19,74
888338,19,79
888338,19,89
888338,2,22
888338,2,23
888338,2,38
888338,2,51
888338,2,89
888338,20,4
888338,20,30
888338,20,43
888338,20,44
888338,20,46
888338,20,54
888338,20,69
888338,20,80
888338,21,12
888338,21,31
888338,21,40
888338,21,58
888338,21,63
888338,22,18
888338,22,45
888338,22,47
888338,22,54
